"","Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces"
"1","Pub Beer",1436,0.05,NA,409,"American Pale Lager",12
"2","Devil's Cup",2265,0.066,NA,178,"American Pale Ale (APA)",12
"3","Rise of the Phoenix",2264,0.071,NA,178,"American IPA",12
"4","Sinister",2263,0.09,NA,178,"American Double / Imperial IPA",12
"5","Sex and Candy",2262,0.075,NA,178,"American IPA",12
"6","Black Exodus",2261,0.077,NA,178,"Oatmeal Stout",12
"7","Lake Street Express",2260,0.045,NA,178,"American Pale Ale (APA)",12
"8","Foreman",2259,0.065,NA,178,"American Porter",12
"9","Jade",2258,0.055,NA,178,"American Pale Ale (APA)",12
"10","Cone Crusher",2131,0.086,NA,178,"American Double / Imperial IPA",12
"11","Sophomoric Saison",2099,0.072,NA,178,"Saison / Farmhouse Ale",12
"12","Regional Ring Of Fire",2098,0.073,NA,178,"Saison / Farmhouse Ale",12
"13","Garce Selé",2097,0.069,NA,178,"Saison / Farmhouse Ale",12
"14","Troll Destroyer",1980,0.085,NA,178,"Belgian IPA",12
"15","Bitter Bitch",1979,0.061,60,178,"American Pale Ale (APA)",12
"16","Ginja Ninja",2318,0.06,NA,155,"Cider",12
"17","Cherried Away",2170,0.06,NA,155,"Cider",12
"18","Rhubarbarian",2169,0.06,NA,155,"Cider",12
"19","BrightCider",1502,0.06,NA,155,"Cider",12
"20","He Said Baltic-Style Porter",1593,0.082,NA,369,"Baltic Porter",12
"21","He Said Belgian-Style Tripel",1592,0.082,NA,369,"Tripel",12
"22","Lower De Boom",1036,0.099,92,369,"American Barleywine",8.4
"23","Fireside Chat",1024,0.079,45,369,"Winter Warmer",12
"24","Marooned On Hog Island",976,0.079,NA,369,"American Stout",12
"25","Bitter American",876,0.044,42,369,"American Pale Ale (APA)",12
"26","Hell or High Watermelon Wheat (2009)",802,0.049,17,369,"Fruit / Vegetable Beer",12
"27","Hell or High Watermelon Wheat (2009)",801,0.049,17,369,"Fruit / Vegetable Beer",12
"28","21st Amendment Watermelon Wheat Beer (2006)",800,0.049,17,369,"Fruit / Vegetable Beer",12
"29","21st Amendment IPA (2006)",799,0.07,70,369,"American IPA",12
"30","Brew Free! or Die IPA (2008)",797,0.07,70,369,"American IPA",12
"31","Brew Free! or Die IPA (2009)",796,0.07,70,369,"American IPA",12
"32","Special Edition: Allies Win The War!",531,0.085,52,369,"English Strong Ale",12
"33","Hop Crisis",432,0.097,94,369,"American Double / Imperial IPA",12
"34","Bitter American (2011)",353,0.044,42,369,"American Pale Ale (APA)",12
"35","Fireside Chat (2010)",321,0.079,45,369,"Winter Warmer",12
"36","Back in Black",173,0.068,65,369,"American Black Ale",12
"37","Monk's Blood",11,0.083,35,369,"Belgian Dark Ale",12
"38","Brew Free! or Die IPA",10,0.07,65,369,"American IPA",12
"39","Hell or High Watermelon Wheat",9,0.049,17,369,"Fruit / Vegetable Beer",12
"40","Bimini Twist",2519,0.07,82,68,"American IPA",12
"41","Beach Blonde",2518,0.05,NA,68,"American Blonde Ale",12
"42","Rod Bender Red",2517,0.059,NA,68,"American Amber / Red Ale",12
"43","Passion Fruit Prussia",2545,0.035,11,61,"Berliner Weissbier",12
"44","Send Help",2544,0.045,18,61,"American Blonde Ale",12
"45","Cast Iron Oatmeal Brown",2324,0.055,NA,61,"American Brown Ale",12
"46","Reprise Centennial Red",2288,0.06,NA,61,"American Amber / Red Ale",12
"47","Alter Ego",2287,0.055,NA,61,"American Black Ale",12
"48","Divided Sky",2286,0.065,NA,61,"American IPA",12
"49","Resurrected",2285,0.065,NA,61,"American IPA",12
"50","Contact High",1870,0.05,28,61,"American Pale Wheat Ale",12
"51","Galaxyfest",2603,0.065,NA,28,"American IPA",16
"52","Citrafest",2602,0.05,45,28,"American IPA",16
"53","Barn Yeti",2220,0.09,NA,28,"Belgian Strong Dark Ale",16
"54","Scarecrow",2219,0.069,65,28,"American IPA",16
"55","Ironman",2218,0.09,50,28,"English Strong Ale",16
"56","Honey Kolsch",2217,0.046,15,28,"Kölsch",16
"57","Copperhead Amber",2216,0.052,18,28,"Belgian Dark Ale",16
"58","Rude Parrot IPA",972,0.059,75,482,"American IPA",16
"59","British Pale Ale (2010)",866,0.054,30,482,"English Pale Ale",16
"60","British Pale Ale",48,0.054,30,482,"English Pale Ale",16
"61","Ballz Deep Double IPA",47,0.084,82,482,"American Double / Imperial IPA",16
"62","Wolfman's Berliner",1583,0.038,NA,374,"Berliner Weissbier",12
"63","Colorado Native",1165,0.055,26,463,"American Amber / Red Lager",12
"64","Colorado Native (2011)",431,0.055,26,463,"American Amber / Red Lager",12
"65","Jockamo IPA",516,0.065,52,534,"American IPA",12
"66","Purple Haze",515,0.042,13,534,"Fruit / Vegetable Beer",12
"67","Abita Amber",514,0.045,17,534,"American Amber / Red Lager",12
"68","Citra Ass Down",2540,0.082,68,63,"American IPA",16
"69","The Brown Note",2539,0.05,20,63,"American Brown Ale",16
"70","Citra Ass Down",2686,0.08,68,2,"American Double / Imperial IPA",16
"71","London Balling",2685,0.125,80,2,"English Barleywine",16
"72","35 K",2684,0.077,25,2,"Milk / Sweet Stout",16
"73","A Beer",2683,0.042,42,2,"American Pale Ale (APA)",16
"74","Rules are Rules",2682,0.05,25,2,"German Pilsener",16
"75","Flesh Gourd'n",2681,0.066,21,2,"Pumpkin Ale",16
"76","Sho'nuff",2680,0.04,13,2,"Belgian Pale Ale",16
"77","Bloody Show",2679,0.055,17,2,"American Pilsner",16
"78","Rico Sauvin",2678,0.076,68,2,"American Double / Imperial IPA",16
"79","Coq de la Marche",2677,0.051,38,2,"Saison / Farmhouse Ale",16
"80","Kamen Knuddeln",2676,0.065,NA,2,"American Wild Ale",16
"81","Pile of Face",2675,0.06,65,2,"American IPA",16
"82","The Brown Note",2674,0.05,20,2,"English Brown Ale",16
"83","Maylani's Coconut Stout",1594,0.053,35,368,"American Stout",16
"84","Oatmeal PSA",1162,0.05,35,368,"American Pale Ale (APA)",16
"85","Pre Flight Pilsner",1137,0.052,33,368,"American Pilsner",16
"86","P-Town Pilsner",2403,0.04,20,118,"American Pilsner",12
"87","Klickitat Pale Ale",2402,0.053,36,118,"American Pale Ale (APA)",12
"88","Yellow Wolf Imperial IPA",2401,0.082,103,118,"American Double / Imperial IPA",12
"89","Freeride APA",1921,0.053,40,271,"American Pale Ale (APA)",12
"90","Alaskan Amber",1920,0.053,18,271,"Altbier",12
"91","Hopalicious",2501,0.057,NA,74,"American Pale Ale (APA)",12
"92","Kentucky Kölsch",1535,0.043,NA,389,"Kölsch",16
"93","Kentucky IPA",1149,0.065,NA,389,"American IPA",16
"94","Dusty Trail Pale Ale",1474,0.054,NA,402,"American Pale Ale (APA)",16
