Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
Boston Celtics,27.3,61,21,1980,True,44.1,90.1,49.0,42.1,84.9,49.6,2.0,5.1,38.4,5.7,50.1,23.3,29.9,77.9,55.00000000000001,26.8,15.0,44.9,113.5,7.79,109.4,101.9,102.6,15.4,34.8,Knocked Out
Los Angeles Lakers,26.2,60,22,1980,True,47.5,89.9,52.900000000000006,47.3,88.6,53.400000000000006,0.2,1.2,20.0,1.4000000000000001,53.0,19.8,25.5,77.5,56.89999999999999,29.4,13.2,45.6,115.1,5.9,109.5,103.9,104.1,16.5,32.6,Champion
Oklahoma City Thunder,27.0,56,26,1980,True,43.3,92.3,47.0,42.6,90.0,47.4,0.7,2.3,31.2,2.5,47.4,21.1,27.5,76.8,52.0,24.9,16.8,47.9,108.5,4.66,105.8,101.2,101.8,14.9,36.4,Knocked Out
Philadelphia 76ers,27.0,59,23,1980,True,43.0,87.3,49.2,42.6,85.7,49.7,0.3,1.5,21.6,1.7000000000000002,49.4,22.9,29.6,77.2,54.400000000000006,27.1,14.5,46.6,109.1,4.22,105.0,101.0,103.0,17.2,33.5,Runner-Up
Milwaukee Bucks,25.3,49,33,1980,True,44.9,92.1,48.8,44.3,90.2,49.1,0.6,1.9,32.300000000000004,2.1,49.1,19.6,25.6,76.4,53.2,27.8,15.2,44.4,110.1,3.94,106.8,102.9,102.4,15.0,35.2,Knocked Out
Phoenix Suns,26.5,55,27,1980,True,43.5,88.2,49.3,42.7,84.8,50.4,0.8,3.4,24.3,3.9,49.8,23.2,30.1,77.3,54.800000000000004,27.8,13.1,43.0,111.1,3.6,105.6,102.2,104.8,16.4,30.4,Knocked Out
Sacramento Kings,25.5,47,35,1980,True,43.7,91.3,47.8,43.4,89.9,48.199999999999996,0.3,1.4,21.9,1.5,48.0,20.4,27.4,74.3,52.2,25.9,14.5,44.1,108.0,3.13,104.0,101.0,103.2,14.5,31.0,Knocked Out
Atlanta Hawks,26.1,50,32,1980,True,39.8,85.7,46.400000000000006,39.6,84.8,46.7,0.2,0.9,17.299999999999997,1.0999999999999999,46.5,24.9,32.3,77.10000000000001,52.300000000000004,23.3,16.7,46.0,104.5,2.91,105.2,102.3,98.9,15.4,36.9,Knocked Out
Cleveland Cavaliers,27.4,37,45,1980,False,46.5,98.1,47.4,46.0,95.8,48.1,0.4,2.3,19.3,2.3,47.599999999999994,20.8,26.9,77.2,51.9,25.7,15.9,45.0,114.1,0.34,106.7,106.4,105.6,13.2,33.1,Never Qualified
Houston Rockets,27.3,41,41,1980,True,43.9,91.4,48.0,42.6,86.8,49.1,1.3,4.6,27.400000000000002,5.1,48.699999999999996,21.7,28.4,76.6,53.300000000000004,26.2,17.0,44.0,110.8,0.17,108.1,108.0,101.2,15.5,37.6,Knocked Out
San Antonio Spurs,26.9,41,41,1980,True,47.0,94.4,49.8,46.4,91.9,50.5,0.6,2.5,25.2,2.7,50.2,24.7,30.8,80.10000000000001,55.300000000000004,28.4,14.1,44.7,119.4,-0.38,108.6,109.0,109.5,15.2,31.8,Knocked Out
Indiana Pacers,25.3,37,45,1980,False,44.4,93.8,47.3,43.3,89.9,48.1,1.1,3.8,28.000000000000004,4.1000000000000005,47.9,21.4,28.5,75.1,52.300000000000004,26.2,17.0,45.4,111.2,-0.7,105.5,106.2,104.4,14.8,35.4,Never Qualified
Portland Trail Blazers,26.3,38,44,1980,True,41.6,87.4,47.599999999999994,41.2,85.8,48.1,0.3,1.6,19.7,1.7999999999999998,47.699999999999996,19.0,25.6,74.3,51.9,23.1,15.8,45.2,102.5,-0.82,103.4,104.3,98.6,16.1,35.5,Knocked Out
Brooklyn Nets,26.1,34,48,1980,False,42.1,91.5,46.1,41.1,87.9,46.800000000000004,1.0,3.6,28.499999999999996,4.0,46.6,23.0,29.3,78.2,51.800000000000004,25.5,15.0,45.9,108.3,-1.17,101.5,102.5,106.1,16.6,32.1,Never Qualified
New York Knicks,24.1,39,43,1980,False,46.4,93.6,49.6,45.9,91.2,50.3,0.5,2.3,22.0,2.5,49.8,20.7,27.7,74.7,53.900000000000006,27.6,15.1,43.2,114.0,-1.15,106.5,107.5,106.5,15.7,33.7,Never Qualified
Washington Wizards,29.0,39,43,1980,True,43.6,95.1,45.800000000000004,42.7,92.2,46.300000000000004,0.9,2.9,30.7,3.1,46.300000000000004,18.9,25.0,75.8,50.4,26.8,16.3,49.5,107.0,-2.55,103.2,105.7,102.6,13.7,33.3,Knocked Out
Chicago Bulls,25.9,30,52,1980,False,41.0,84.7,48.4,40.1,81.3,49.4,0.9,3.4,25.5,4.0,48.9,24.6,31.6,77.9,54.50000000000001,26.2,13.6,43.7,107.5,-2.71,104.3,107.0,101.8,17.2,32.2,Never Qualified
Los Angeles Clippers,27.6,35,47,1980,False,43.0,91.4,47.0,40.8,84.8,48.199999999999996,2.2,6.6,32.6,7.199999999999999,48.199999999999996,19.5,26.4,73.6,52.2,20.6,15.8,43.9,107.6,-4.15,105.7,109.8,101.4,14.6,34.2,Never Qualified
Denver Nuggets,27.1,30,52,1980,False,42.2,91.1,46.300000000000004,41.2,88.0,46.800000000000004,1.0,3.1,32.5,3.4000000000000004,46.9,22.8,31.0,73.7,51.7,25.4,16.0,46.8,108.3,-4.41,103.4,107.6,103.9,15.1,33.6,Never Qualified
Golden State Warriors,26.3,24,58,1980,False,43.0,89.2,48.199999999999996,42.7,87.8,48.6,0.3,1.5,22.3,1.7000000000000002,48.4,17.2,23.3,73.8,52.0,24.7,14.1,43.8,103.6,-4.39,102.0,106.3,100.5,15.5,31.1,Never Qualified
