Team,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,ORB,TRB,AST,TOV,PTS,Year,Playoff,Finals_Rk
San Antonio Spurs,3856,7738,49.8,3804,7532,50.5,52,206,25.2,2024,2528,1153,3668,2326,1589,9788,1980,True,Knocked Out
Los Angeles Lakers,3898,7368,52.900000000000006,3878,7268,53.400000000000006,20,100,20.0,1622,2092,1085,3738,2413,1639,9438,1980,True,Champion
Cleveland Cavaliers,3811,8041,47.4,3775,7854,48.1,36,187,19.3,1702,2205,1307,3688,2108,1370,9360,1980,False,Never Qualified
New York Knicks,3802,7672,49.6,3760,7481,50.3,42,191,22.0,1698,2274,1236,3539,2265,1613,9344,1980,False,Never Qualified
Boston Celtics,3617,7387,49.0,3455,6965,49.6,162,422,38.4,1907,2449,1227,3684,2198,1539,9303,1980,True,Knocked Out
Indiana Pacers,3639,7689,47.3,3551,7375,48.1,88,314,28.000000000000004,1753,2333,1398,3724,2148,1517,9119,1980,False,Never Qualified
Phoenix Suns,3570,7235,49.3,3502,6955,50.4,68,280,24.3,1906,2466,1071,3529,2283,1629,9114,1980,True,Knocked Out
Houston Rockets,3599,7496,48.0,3495,7117,49.1,104,379,27.400000000000002,1782,2326,1394,3611,2149,1565,9084,1980,True,Knocked Out
Milwaukee Bucks,3685,7553,48.8,3635,7398,49.1,50,155,32.300000000000004,1605,2102,1245,3641,2277,1496,9025,1980,True,Knocked Out
Philadelphia 76ers,3523,7156,49.2,3496,7031,49.7,27,125,21.6,1876,2431,1187,3822,2226,1708,8949,1980,True,Runner-Up
Detroit Pistons,3643,7596,48.0,3586,7377,48.6,57,219,26.0,1590,2149,1226,3641,1950,1742,8933,1980,False,Never Qualified
Oklahoma City Thunder,3554,7565,47.0,3495,7376,47.4,59,189,31.2,1730,2253,1380,3930,2043,1496,8897,1980,True,Knocked Out
Brooklyn Nets,3456,7504,46.1,3371,7206,46.800000000000004,85,298,28.499999999999996,1882,2406,1229,3764,2094,1702,8879,1980,False,Never Qualified
Denver Nuggets,3462,7470,46.300000000000004,3379,7215,46.800000000000004,83,255,32.5,1871,2539,1311,3835,2079,1533,8878,1980,False,Never Qualified
Sacramento Kings,3582,7489,47.8,3557,7375,48.199999999999996,25,114,21.9,1671,2250,1187,3616,2123,1439,8860,1980,True,Knocked Out
Los Angeles Clippers,3524,7494,47.0,3347,6951,48.199999999999996,177,543,32.6,1595,2167,1294,3602,1688,1443,8820,1980,False,Never Qualified
Chicago Bulls,3362,6943,48.4,3292,6668,49.4,70,275,25.5,2019,2592,1115,3580,2152,1684,8813,1980,False,Never Qualified
Washington Wizards,3574,7796,45.800000000000004,3501,7558,46.300000000000004,73,238,30.7,1552,2048,1334,4057,2201,1380,8773,1980,True,Knocked Out
Atlanta Hawks,3261,7027,46.400000000000006,3248,6952,46.7,13,75,17.299999999999997,2038,2645,1369,3775,1913,1495,8573,1980,True,Knocked Out
Golden State Warriors,3527,7318,48.199999999999996,3500,7197,48.6,27,121,22.3,1412,1914,1155,3592,2028,1492,8493,1980,False,Never Qualified
Portland Trail Blazers,3408,7167,47.599999999999994,3382,7035,48.1,26,132,19.7,1560,2100,1295,3703,1898,1552,8402,1980,True,Knocked Out
Utah Jazz,3382,6817,49.6,3323,6632,50.1,59,185,31.900000000000002,1571,1943,967,3326,2005,1543,8394,1980,False,Never Qualified
Denver Nuggets,3784,7960,47.5,3754,7815,48.0,30,145,20.7,2388,3051,1325,3822,2030,1444,9986,1981,False,Never Qualified
Milwaukee Bucks,3722,7472,49.8,3692,7341,50.3,30,131,22.900000000000002,1802,2340,1261,3669,2319,1581,9276,1981,True,Knocked Out
San Antonio Spurs,3571,7276,49.1,3556,7191,49.5,15,85,17.599999999999998,2052,2668,1304,3886,2048,1533,9209,1981,True,Knocked Out
Philadelphia 76ers,3636,7073,51.4,3617,6989,51.800000000000004,19,84,22.6,1865,2427,1091,3709,2369,1702,9156,1981,True,Knocked Out
Los Angeles Lakers,3780,7382,51.2,3763,7288,51.6,17,94,18.099999999999998,1540,2113,1165,3656,2363,1557,9117,1981,True,Knocked Out
Portland Trail Blazers,3741,7535,49.6,3716,7387,50.3,25,148,16.900000000000002,1573,2191,1243,3631,2244,1518,9080,1981,True,Knocked Out
Phoenix Suns,3587,7326,49.0,3552,7165,49.6,35,161,21.7,1810,2430,1234,3724,2205,1733,9019,1981,True,Knocked Out
Boston Celtics,3581,7099,50.4,3516,6858,51.300000000000004,65,241,27.0,1781,2369,1155,3579,2202,1577,9008,1981,True,Champion
Golden State Warriors,3560,7284,48.9,3500,7074,49.5,60,210,28.599999999999998,1826,2513,1403,3769,2026,1547,9006,1981,False,Never Qualified
Chicago Bulls,3457,6903,50.1,3419,6724,50.8,38,179,21.2,1985,2563,1227,3702,1925,1672,8937,1981,True,Knocked Out
Houston Rockets,3573,7335,48.699999999999996,3552,7217,49.2,21,118,17.8,1711,2223,1216,3563,2099,1451,8878,1981,True,Runner-Up
New York Knicks,3505,7255,48.3,3449,7019,49.1,56,236,23.7,1783,2386,1137,3342,1976,1461,8849,1981,True,Knocked Out
Indiana Pacers,3491,7245,48.199999999999996,3461,7076,48.9,30,169,17.8,1815,2540,1325,3592,2091,1491,8827,1981,True,Knocked Out
Sacramento Kings,3572,7151,50.0,3523,6983,50.5,49,168,29.2,1576,2206,1037,3487,2271,1448,8769,1981,True,Knocked Out
Brooklyn Nets,3477,7314,47.5,3443,7176,48.0,34,138,24.6,1780,2371,1092,3466,2068,1664,8768,1981,False,Never Qualified
Los Angeles Clippers,3477,7283,47.699999999999996,3345,6876,48.6,132,407,32.4,1651,2246,1169,3313,2098,1407,8737,1981,False,Never Qualified
Cleveland Cavaliers,3556,7609,46.7,3484,7360,47.3,72,249,28.9,1486,1909,1258,3501,2007,1396,8670,1981,False,Never Qualified
Washington Wizards,3549,7517,47.199999999999996,3484,7276,47.9,65,241,27.0,1499,2072,1155,3688,2151,1422,8662,1981,False,Never Qualified
Atlanta Hawks,3291,6866,47.9,3281,6784,48.4,10,82,12.2,2012,2590,1201,3425,1846,1605,8604,1981,False,Never Qualified
Oklahoma City Thunder,3343,7145,46.800000000000004,3311,7028,47.099999999999994,32,117,27.400000000000002,1813,2376,1167,3601,1945,1524,8531,1981,False,Never Qualified
Dallas Mavericks,3204,6928,46.2,3158,6763,46.7,46,165,27.900000000000002,1868,2487,1109,3286,1984,1439,8322,1981,False,Never Qualified
Utah Jazz,3332,6825,48.8,3290,6662,49.4,42,163,25.8,1595,2080,962,3287,1948,1423,8301,1981,False,Never Qualified
Detroit Pistons,3236,6986,46.300000000000004,3223,6902,46.7,13,84,15.5,1689,2330,1201,3312,1819,1759,8174,1981,False,Never Qualified
Denver Nuggets,3980,7656,52.0,3940,7507,52.5,40,149,26.8,2371,2978,1149,3592,2272,1470,10371,1982,True,Knocked Out
Los Angeles Lakers,3919,7585,51.7,3906,7491,52.1,13,94,13.8,1549,2161,1258,3763,2356,1468,9400,1982,True,Champion
San Antonio Spurs,3698,7613,48.6,3634,7361,49.4,64,252,25.4,1812,2335,1253,3790,2257,1293,9272,1982,True,Knocked Out
Boston Celtics,3657,7334,49.9,3608,7150,50.5,49,184,26.6,1817,2457,1253,3742,2126,1452,9180,1982,True,Knocked Out
Philadelphia 76ers,3616,6974,51.800000000000004,3575,6835,52.300000000000004,41,139,29.5,1846,2471,1031,3420,2264,1474,9119,1982,True,Runner-Up
Detroit Pistons,3561,7391,48.199999999999996,3509,7178,48.9,52,213,24.4,1938,2581,1298,3643,2027,1629,9112,1982,False,Never Qualified
Utah Jazz,3679,7446,49.4,3657,7349,49.8,22,97,22.7,1714,2282,1147,3509,1895,1435,9094,1982,False,Never Qualified
Golden State Warriors,3646,7349,49.6,3555,7024,50.6,91,325,28.000000000000004,1709,2382,1282,3734,1820,1424,9092,1982,False,Never Qualified
Portland Trail Blazers,3629,7187,50.5,3600,7047,51.1,29,140,20.7,1719,2387,1142,3497,2054,1390,9006,1982,False,Never Qualified
Los Angeles Clippers,3552,7101,50.0,3453,6763,51.1,99,338,29.299999999999997,1693,2341,1131,3327,1878,1570,8896,1982,False,Never Qualified
Milwaukee Bucks,3544,7015,50.5,3495,6851,51.0,49,164,29.9,1753,2329,1167,3582,2233,1589,8890,1982,True,Knocked Out
Oklahoma City Thunder,3505,7178,48.8,3467,7025,49.4,38,153,24.8,1747,2362,1103,3647,2103,1351,8795,1982,True,Knocked Out
Sacramento Kings,3604,7284,49.5,3578,7154,50.0,26,130,20.0,1551,2158,1086,3362,2056,1507,8785,1982,False,Never Qualified
Brooklyn Nets,3501,7227,48.4,3471,7081,49.0,30,146,20.5,1714,2354,1194,3514,2096,1650,8746,1982,True,Knocked Out
Chicago Bulls,3369,6728,50.1,3315,6515,50.9,54,213,25.4,1951,2545,1125,3650,2043,1636,8743,1982,False,Never Qualified
New York Knicks,3523,7178,49.1,3465,6964,49.8,58,214,27.1,1603,2171,1168,3441,2075,1486,8707,1982,False,Never Qualified
Phoenix Suns,3508,7140,49.1,3454,6966,49.6,54,174,31.0,1635,2157,1123,3640,2223,1528,8705,1982,True,Knocked Out
Houston Rockets,3504,7366,47.599999999999994,3454,7190,48.0,50,176,28.4,1622,2225,1403,3687,1977,1321,8680,1982,True,Knocked Out
Dallas Mavericks,3390,7224,46.9,3335,7034,47.4,55,190,28.9,1740,2366,1213,3441,2117,1317,8575,1982,False,Never Qualified
Washington Wizards,3400,7168,47.4,3341,6932,48.199999999999996,59,236,25.0,1626,2105,1047,3630,1983,1390,8485,1982,True,Knocked Out
Cleveland Cavaliers,3405,7334,46.400000000000006,3380,7197,47.0,25,137,18.2,1628,2179,1190,3360,1871,1319,8463,1982,False,Never Qualified
Indiana Pacers,3332,7164,46.5,3229,6848,47.199999999999996,103,316,32.6,1612,2176,1141,3513,1897,1393,8379,1982,False,Never Qualified
Atlanta Hawks,3210,6776,47.4,3182,6648,47.9,28,128,21.9,1833,2387,1135,3503,1815,1343,8281,1982,True,Knocked Out
Denver Nuggets,3951,7999,49.4,3927,7873,49.9,24,126,19.0,2179,2696,1214,3738,2336,1496,10105,1983,True,Knocked Out
Los Angeles Lakers,3964,7512,52.800000000000004,3954,7416,53.300000000000004,10,96,10.4,1495,2031,1235,3668,2519,1584,9433,1983,True,Runner-Up
San Antonio Spurs,3697,7340,50.4,3603,7032,51.2,94,308,30.5,1887,2468,1232,3831,2261,1504,9375,1983,True,Knocked Out
Sacramento Kings,3719,7485,49.7,3668,7270,50.5,51,215,23.7,1839,2530,1256,3663,2155,1691,9328,1983,False,Never Qualified
Dallas Mavericks,3674,7550,48.699999999999996,3631,7365,49.3,43,185,23.200000000000003,1852,2462,1296,3677,2227,1348,9243,1983,False,Never Qualified
